,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
0,11 Comae Berenices b,304.0,19.4 Jupiters,4.72307,2007,Gas Giant,1.08 x Jupiter,1.29 AU,326 days,0.23,11 Com,Radial Velocity,4742.0,19.0,2.7,12h20m42.91s,+17d47m35.71s
1,11 Ursae Minoris b,409.0,14.74 Jupiters,5.013,2009,Gas Giant,1.09 x Jupiter,1.53 AU,1.4 years,0.08,11 UMi,Radial Velocity,4213.0,29.79,2.78,15h17m05.90s,+71d49m26.19s
2,14 Andromedae b,246.0,4.8 Jupiters,5.23133,2008,Gas Giant,1.15 x Jupiter,0.83 AU,185.8 days,0,14 And,Radial Velocity,4813.0,11.0,2.2,23h31m17.80s,+39d14m09.01s
3,14 Herculis b,58.0,4.66 Jupiters,6.61935,2002,Gas Giant,1.15 x Jupiter,2.93 AU,4.9 years,0.37,14 Her,Radial Velocity,5338.0,0.93,0.9,16h10m24.50s,+43d48m58.90s
4,16 Cygni B b,69.0,1.78 Jupiters,6.215,1996,Gas Giant,1.2 x Jupiter,1.66 AU,2.2 years,0.68,16 Cyg B,Radial Velocity,5750.0,1.13,1.08,19h41m51.75s,+50d31m00.57s
5,17 Scorpii b,408.0,4.32 Jupiters,5.22606,2020,Gas Giant,1.15 x Jupiter,1.45 AU,1.6 years,0.06,17 Sco,Radial Velocity,4157.0,25.92,1.22,16h13m50.90s,-11d50m16.05s
6,18 Delphini b,249.0,10.3 Jupiters,5.51048,2008,Gas Giant,1.11 x Jupiter,2.6 AU,2.7 years,0.08,18 Del,Radial Velocity,4979.0,8.5,2.3,20h58m25.88s,+10d50m20.90s
7,1RXS J160929.1-210524 b,454.0,8 Jupiters,12.618,2008,Gas Giant,1.664 x Jupiter,330.0 AU,6505.9 years,0,1RXS J160929.1-210524,Imaging,4060.0,1.31,0.85,16h09m30.30s,-21d04m59.31s
8,24 Bootis b,313.0,0.91 Jupiters,5.59,2018,Gas Giant,1.24 x Jupiter,0.19 AU,30.4 days,0.04,24 Boo,Radial Velocity,4893.0,10.64,0.99,14h28m37.33s,+49d50m40.74s
9,24 Sextantis b,235.0,1.99 Jupiters,6.4535,2010,Gas Giant,1.19 x Jupiter,1.333 AU,452.8 days,0.09,24 Sex,Radial Velocity,5098.0,4.9,1.54,10h23m28.44s,-00d54m08.64s
10,24 Sextantis c,235.0,0.86 Jupiters,6.4535,2010,Gas Giant,1.24 x Jupiter,2.08 AU,2.4 years,0.29,24 Sex,Radial Velocity,5098.0,4.9,1.54,10h23m28.44s,-00d54m08.64s
11,2MASS J01033563-5515561 AB b,154.0,13 Jupiters,15.788,2013,Gas Giant,1.1 x Jupiter,84.0 AU,1767.2 years,0,2MASS J01033563-5515561 A,Imaging,,,0.19,01h03m35.82s,-55d15m56.98s
12,2MASS J01225093-2439505 b,110.0,24.5 Jupiters,14.244,2013,Gas Giant,1.0 x Jupiter,52.0 AU,593.2 years,0,2MASS J01225093-2439505,Imaging,3530.0,0.37,0.4,01h22m51.07s,-24d39m52.61s
13,2MASS J02192210-3925225 b,131.0,13.9 Jupiters,15.0123,2015,Gas Giant,1.44 x Jupiter,156.0 AU,5878.1 years,0,2MASS J02192210-3925225,Imaging,3064.0,0.28,0.11,02h19m22.25s,-39d25m23.08s
14,2MASS J04414489+2301513 b,393.0,7.5 Jupiters,18.9668,2010,Gas Giant,1.13 x Jupiter,15.0 AU,411 years,0,2MASS J04414489+2301513,Imaging,2936.0,0.23,0.02,04h41m44.91s,+23d01m51.08s
15,2MASS J12073346-3932539 b,210.0,5 Jupiters,20.15,2004,Gas Giant,1.15 x Jupiter,55.0 AU,2885.9 years,0,2MASS J12073346-3932539,Imaging,2825.0,0.22,0.02,12h07m33.38s,-39d32m54.38s
16,2MASS J19383260+4603591 b,1293.0,1.9 Jupiters,12.651,2015,Gas Giant,1.2 x Jupiter,0.92 AU,416 days,0,2MASS J19383260+4603591,Eclipse Timing Variations,10868.0,0.34,0.48,19h38m32.62s,+46d03m59.07s
17,2MASS J21402931+1625183 A b,108.0,20.95 Jupiters,17.3961,2009,Gas Giant,0.92 x Jupiter,Unknown,20.1 years,0.26,2MASS J21402931+1625183 A,Imaging,2300.0,0.12,0.08,21h40m29.24s,+16d25m16.83s
18,2MASS J22362452+4751425 b,227.0,12.5 Jupiters,12.368,2016,Gas Giant,1.1 x Jupiter,230.0 AU,4505.7 years,0,2MASS J22362452+4751425,Imaging,4045.0,0.64,0.6,22h36m24.62s,+47d51m42.06s
19,30 Arietis B b,146.0,13.82 Jupiters,7.09209,2009,Gas Giant,1.1 x Jupiter,0.99 AU,335.1 days,0.29,30 Ari B,Radial Velocity,6331.0,1.41,1.93,02h36m57.91s,+24d38m52.84s
20,42 Draconis b,296.0,3.88 Jupiters,4.8262,2008,Gas Giant,1.16 x Jupiter,1.19 AU,479.1 days,0.38,42 Dra,Radial Velocity,4200.0,22.03,0.98,18h25m59.40s,+65d33m48.11s
21,47 Ursae Majoris b,45.0,2.53 Jupiters,5.03352,1996,Gas Giant,1.18 x Jupiter,2.1 AU,3 years,0.03,47 UMa,Radial Velocity,5872.0,1.21,1.06,10h59m27.54s,+40d25m49.78s
22,47 Ursae Majoris c,45.0,0.54 Jupiters,5.03352,2001,Gas Giant,1.27 x Jupiter,3.6 AU,6.6 years,0.1,47 UMa,Radial Velocity,5872.0,1.21,1.06,10h59m27.54s,+40d25m49.78s
23,47 Ursae Majoris d,45.0,1.64 Jupiters,5.03352,2009,Gas Giant,1.2 x Jupiter,11.6 AU,38.4 years,0.16,47 UMa,Radial Velocity,5872.0,1.21,1.06,10h59m27.54s,+40d25m49.78s
24,51 Eridani b,97.0,2 Jupiters,5.21149,2015,Gas Giant,1.19 x Jupiter,13.2 AU,32 years,0.45,51 Eri,Imaging,7295.0,1.49,1.75,04h37m36.18s,-02d28m25.77s
25,51 Pegasi b,50.0,0.46 Jupiters,5.45309,1995,Gas Giant,1.27 x Jupiter,0.0527 AU,4.2 days,0.01,51 Peg,Radial Velocity,5758.0,1.18,1.03,22h57m28.21s,+20d46m08.74s
26,55 Cancri b,41.0,0.8306 Jupiters,5.95084,1996,Gas Giant,1.24 x Jupiter,0.1134 AU,14.7 days,0,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
27,55 Cancri c,41.0,0.1714 Jupiters,5.95084,2004,Gas Giant,0.76 x Jupiter,0.2373 AU,44.4 days,0.03,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
28,55 Cancri d,41.0,3.878 Jupiters,5.95084,2002,Gas Giant,1.16 x Jupiter,5.957 AU,15.3 years,0.13,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
29,55 Cancri e,41.0,7.99 Earths,5.95084,2004,Super Earth,1.875 x Earth,0.01544 AU,0.7 days,0.05,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
30,55 Cancri f,41.0,0.141 Jupiters,5.95084,2007,Gas Giant,0.677 x Jupiter,0.7708 AU,259.9 days,0.08,55 Cnc,Radial Velocity,5172.0,0.94,0.91,08h52m35.24s,+28d19m47.34s
31,6 Lyncis b,178.0,2.01 Jupiters,5.87307,2008,Gas Giant,1.19 x Jupiter,2.11 AU,2.6 years,0.07,6 Lyn,Radial Velocity,4938.0,5.2,1.44,06h30m47.05s,+58d09m40.23s
32,61 Virginis b,28.0,5.1 Earths,4.6955,2009,Neptune-like,2.11 x Earth,0.050201 AU,4.2 days,0.12,61 Vir,Radial Velocity,5577.0,0.96,0.94,13h18m23.15s,-18d18m56.79s
